run_num	trial_num	trial_dur	iti_dur	display_trial_feedback	trial_type	start_time	end_time	real_start_time	start_ttl	start_ttl_time
1	0	1	0	False	right	0	1	320.00020070839673	0	320.00020170840435
1	1	1	0	False	left	1	2	321.03282395831775	0	321.03282495832536
1	2	1	0	False	right	2	3	322.0662396666594	0	322.066240666667
1	3	1	0	False	left	3	4	323.09946233336814	0	323.09946329158265
1	4	1	0	False	right	4	5	324.13278700003866	0	324.13278804160655
1	5	1	0	False	left	5	6	325.1659985416336	0	325.1659994999645
1	6	1	0	False	right	6	7	326.19966854166705	0	326.199669499998
1	7	1	0	False	left	7	8	327.23277104157023	0	327.23277208337095
1	8	1	0	False	right	8	9	328.26608104165643	0	328.26608208334073
1	9	1	0	False	left	9	10	329.29948725004215	0	329.2994882083731
1	10	1	0	False	right	10	11	330.3332553333603	0	330.3332563333679
1	11	1	0	False	left	11	12	331.36610691656824	0	331.36610791657586
1	12	1	0	False	right	12	13	332.39949324994814	0	332.39949429163244
1	13	1	0	False	left	13	14	333.4329507499933	0	333.43295175000094
1	14	1	0	False	right	14	15	334.4661312083481	0	334.4661321665626
1	15	1	0	False	left	15	16	335.4997503333725	0	335.4997513749404
1	16	1	0	False	right	16	17	336.5327026665909	0	336.53270370839164
1	17	1	0	False	left	17	18	337.56610495841596	0	337.5661059584236
1	18	1	0	False	right	18	19	338.5996926666703	0	338.5996936666779
1	19	1	0	False	left	19	20	339.63274220831227	0	339.63274324999657
1	20	1	0	False	right	20	21	340.6663328750292	0	340.66633391659707
1	21	1	0	False	left	21	22	341.6992953750305	0	341.6992963750381
1	22	1	0	False	right	22	23	342.7330463749822	0	342.7330472499598
1	23	1	0	False	left	23	24	343.76609912503045	0	343.76610016659833
1	24	1	0	False	right	24	25	344.7994079584023	0	344.7994089584099
1	25	1	0	False	left	25	26	345.8330632499419	0	345.83306424994953
1	26	1	0	False	right	26	27	346.86635937495157	0	346.8663603749592
1	27	1	0	False	left	27	28	347.89941333339084	0	347.89941433339845
1	28	1	0	False	right	28	29	348.93285366659984	0	348.9328546250472
1	29	1	0	False	left	29	30	349.96652583335526	0	349.96652691659983
1	0	1	0	False	right	0	1	320.0002372083254	0	320.00023816665635
1	1	1	0	False	left	1	2	321.0326494582696	0	321.0326504582772
1	2	1	0	False	right	2	3	322.06612695835065	0	322.06612799991854
1	3	1	0	False	left	3	4	323.0992513332749	0	323.0992524167523
1	4	1	0	False	right	4	5	324.13289704173803	0	324.1328981666593
1	5	1	0	False	left	5	6	325.1659967916785	0	325.16599787492305
1	6	1	0	False	right	6	7	326.19933687499724	0	326.19933787500486
1	7	1	0	False	left	7	8	327.2326350416988	0	327.2326359999133
1	8	1	0	False	right	8	9	328.26593116670847	0	328.265932124923
1	9	1	0	False	left	9	10	329.2996034999378	0	329.2996045417385
1	10	1	0	False	right	10	11	330.3328405832872	0	330.3328416249715
1	11	1	0	False	left	11	12	331.36608029168565	0	331.36608129169326
1	12	1	0	False	right	12	13	332.399619416683	0	332.3996204583673
1	13	1	0	False	left	13	14	333.4326833332889	0	333.4326843749732
1	14	1	0	False	right	14	15	334.46605358331	0	334.4660545833176
1	15	1	0	False	left	15	16	335.49920091673266	0	335.49920195830055
1	16	1	0	False	right	16	17	336.5327237083111	0	336.532724666642
1	17	1	0	False	left	17	18	337.5659650833113	0	337.5659660833189
1	18	1	0	False	right	18	19	338.5992909583729	0	338.59929199994076
1	19	1	0	False	left	19	20	339.6329084999161	0	339.63290958327707
1	20	1	0	False	right	20	21	340.66604862490203	0	340.66604962490965
1	21	1	0	False	left	21	22	341.69939429173246	0	341.6993952917401
1	22	1	0	False	right	22	23	342.73280387499835	0	342.7328049999196
1	23	1	0	False	left	23	24	343.76583774993196	0	343.7658387499396
1	24	1	0	False	right	24	25	344.7992759166518	0	344.79927691665944
1	25	1	0	False	left	25	26	345.8324270832818	0	345.83242804172914
1	26	1	0	False	right	26	27	346.86597212497145	0	346.8659732498927
1	27	1	0	False	left	27	28	347.8993129999144	0	347.899313999922
1	28	1	0	False	right	28	29	348.93259620829485	0	348.93259724997915
1	29	1	0	False	left	29	30	349.96632591669913	0	349.96632712497376
